column_1,value,name,club,nation,position,age
1353,"€7.50m","Léo Ortiz","Red Bull Bragantino",Brazil,Centre-Back,27
1354,"€7.50m","Julian Ryerson","1.FC Union Berlin",Norway,Right-Back,25
1355,"€7.50m","Sergio Akieme","UD Almería",Spain,Left-Back,25
1356,"€7.50m","Paul Jaeckel","1.FC Union Berlin",Germany,Centre-Back,24
1357,"€7.50m",Marlon,"AC Monza",Brazil,Centre-Back,27
1358,"€7.50m","Adam Marusic","SS Lazio",Montenegro,Right-Back,30
1359,"€7.50m","Timo Hübers","1. FC Köln",Germany,Centre-Back,26
1360,"€7.00m","Milos Kerkez","AZ Alkmaar",Hungary,Left-Back,19
1361,"€7.00m","Youssouf Ndayishimiye","Basaksehir FK",Burundi,Centre-Back,24
1362,"€7.00m","Juan Larios","Southampton FC",Spain,Left-Back,18
1363,"€7.00m","Strahinja Eraković","Red Star Belgrade",Serbia,Centre-Back,21
1364,"€7.00m","Quentin Merlin","FC Nantes",France,Left-Back,20
1365,"€7.00m","Giulian Biancone","Nottingham Forest",France,Right-Back,22
1366,"€7.00m",Nino,"Fluminense Football Club",Brazil,Centre-Back,25
1367,"€7.00m","Anthony Caci","1.FSV Mainz 05",France,Left-Back,25
1368,"€7.00m","Valentin Rosier","Besiktas JK",France,Right-Back,26
1369,"€7.00m","Santiago Bueno","Girona FC",Uruguay,Centre-Back,24
1370,"€7.00m","Omar Richards","Nottingham Forest",England,Left-Back,24
1371,"€7.00m","Andreaw Gravillon","Stade Reims",Guadeloupe,Centre-Back,24
1372,"€7.00m","César Montes","RCD Espanyol Barcelona",Mexico,Centre-Back,25
1373,"€7.00m","Ismail Jakobs","AS Monaco",Senegal,Left-Back,23
1374,"€7.00m","Leo Östigard","SSC Napoli",Norway,Centre-Back,23
1375,"€7.00m","Jordan Teze","PSV Eindhoven",Netherlands,Centre-Back,23
1376,"€7.00m","Joseph Aidoo","Celta de Vigo",Ghana,Centre-Back,27
1377,"€7.00m","Raoul Bellanova","Inter Milan",Italy,Right-Back,22
1378,"€7.00m","Mert Müldür","US Sassuolo",Turkey,Right-Back,23
1379,"€7.00m","Matteo Gabbia","AC Milan",Italy,Centre-Back,23
1380,"€7.00m","Jesús Angulo","Tigres UANL",Mexico,Left-Back,24
1381,"€7.00m","Júnior Alonso","FK Krasnodar",Paraguay,Centre-Back,29
1382,"€7.00m","Aarón Martín","1.FSV Mainz 05",Spain,Left-Back,25
1383,"€7.00m","Stefan Posch","Bologna FC 1909",Austria,Centre-Back,25
1384,"€7.00m","Kenny Tete","Fulham FC",Netherlands,Right-Back,27
1385,"€7.00m","Clinton Mata","Club Brugge KV",Angola,Right-Back,30
1386,"€7.00m","Kevin Mbabu","Fulham FC",Switzerland,Right-Back,27
1387,"€7.00m","Jamaal Lascelles","Newcastle United",England,Centre-Back,29
1388,"€7.00m","Davide Zappacosta","Atalanta BC",Italy,Right-Back,30
1389,"€7.00m","John Egan","Sheffield United",Ireland,Centre-Back,30
1390,"€7.00m","Jannik Vestergaard","Leicester City",Denmark,Centre-Back,30
1391,"€6.50m","Bjorn Meijer","Club Brugge KV",Netherlands,Left-Back,19
1392,"€6.50m","Luca Netz","Borussia Mönchengladbach",Germany,Left-Back,19
1393,"€6.50m","Sacha Boey",Galatasaray,France,Right-Back,22
1394,"€6.50m","Andrea Cambiaso","Bologna FC 1909",Italy,Left-Back,22
1395,"€6.50m","Matteo Lovato","US Salernitana 1919",Italy,Centre-Back,22
1396,"€6.50m",Murilo,"Sociedade Esportiva Palmeiras",Brazil,Centre-Back,25
1397,"€6.50m","Gerzino Nyamsi","RC Strasbourg Alsace",France,Centre-Back,25
1398,"€6.50m","Fabricio Bustos","Sport Club Internacional",Argentina,Right-Back,26
1399,"€6.50m","Brandon Mechele","Club Brugge KV",Belgium,Centre-Back,29
1400,"€6.50m","Paulo Otávio","VfL Wolfsburg",Brazil,Left-Back,28
1401,"€6.50m","Romain Saïss","Besiktas JK",Morocco,Centre-Back,32
1402,"€6.50m","Marius Wolf","Borussia Dortmund",Germany,Right-Back,27
1403,"€6.50m","Valentino Lazaro","Torino FC",Austria,Right-Back,26
1404,"€6.50m","Marco Friedl","SV Werder Bremen",Austria,Centre-Back,24
1405,"€6.50m","Ezgjan Alioski",Fenerbahce,"North Macedonia",Left-Back,30
1406,"€6.50m","Cristiano Biraghi","ACF Fiorentina",Italy,Left-Back,30
1407,"€6.50m","Thomas Meunier","Borussia Dortmund",Belgium,Right-Back,31
1408,"€6.50m","Mats Hummels","Borussia Dortmund",Germany,Centre-Back,34
1409,"€6.50m","Borna Barisic","Rangers FC",Croatia,Left-Back,30
1410,"€6.00m","Anthony Rouault","FC Toulouse",France,Centre-Back,21
1411,"€6.00m","Lucas Piton","Club de Regatas Vasco da Gama",Brazil,Left-Back,22
1412,"€6.00m",Khellven,"Club Athletico Paranaense",Brazil,Right-Back,21
1413,"€6.00m","Alistair Johnston","Celtic FC",Canada,Right-Back,24
1414,"€6.00m","Yan Couto","Girona FC",Brazil,Right-Back,20
1415,"€6.00m","Jon Pacheco","Real Sociedad",Spain,Centre-Back,21
1416,"€6.00m","Kevin Álvarez","CF Pachuca",Mexico,Right-Back,23
1417,"€6.00m","Christopher Wooh","Stade Rennais FC",Cameroon,Centre-Back,21
1418,"€6.00m","Josh Doig","Hellas Verona",Scotland,Left-Back,20
1419,"€6.00m","Igor Diveev","CSKA Moscow",Russia,Centre-Back,23
1420,"€6.00m","Malick Thiaw","AC Milan",Germany,Centre-Back,21
1421,"€6.00m","Aihen Muñoz","Real Sociedad",Spain,Left-Back,25
1422,"€6.00m","Julián Araujo","Los Angeles Galaxy",Mexico,Right-Back,21
1423,"€6.00m","Becir Omeragic","FC Zürich",Switzerland,Centre-Back,20
1424,"€6.00m","Jorge Cuenca","Villarreal CF",Spain,Centre-Back,23
1425,"€6.00m","Chris Mepham","AFC Bournemouth",Wales,Centre-Back,25
1426,"€6.00m","Ridvan Yilmaz","Rangers FC",Turkey,Left-Back,21
1427,"€6.00m","Félix Torres","Santos Laguna",Ecuador,Centre-Back,25
1428,"€6.00m","Ben Wilmot","Stoke City",England,Centre-Back,23
1429,"€6.00m","Joseph Okumu","KAA Gent",Kenya,Centre-Back,25
1430,"€6.00m","Matías Viña","AS Roma",Uruguay,Left-Back,25
1431,"€6.00m","Luan Cândido","Red Bull Bragantino",Brazil,Left-Back,21
1432,"€6.00m",Vitão,"Sport Club Internacional",Brazil,Centre-Back,22
1433,"€6.00m","Nathaniel Phillips","Liverpool FC",England,Centre-Back,25
1434,"€6.00m","Pape Abou Cissé","Olympiacos Piraeus",Senegal,Centre-Back,27
1435,"€6.00m","Jorge Sánchez","Ajax Amsterdam",Mexico,Right-Back,25
1436,"€6.00m","Ayrton Lucas","CR Flamengo",Brazil,Left-Back,25
1437,"€6.00m","Luan Peres",Fenerbahce,Brazil,Centre-Back,28
1438,"€6.00m","Axel Tuanzebe","Manchester United",England,Centre-Back,25
1439,"€6.00m","Zinho Vanheusden","AZ Alkmaar",Belgium,Centre-Back,23
1440,"€6.00m","Unai Núñez","Celta de Vigo",Spain,Centre-Back,25
1441,"€6.00m","Amos Pieper","SV Werder Bremen",Germany,Centre-Back,24
1442,"€6.00m","Mauro Júnior","PSV Eindhoven",Brazil,Left-Back,23
1443,"€6.00m","Jordan Lotomba","OGC Nice",Switzerland,Right-Back,24
1444,"€6.00m","Harry Souttar","Stoke City",Australia,Centre-Back,24
1445,"€6.00m","Hassane Kamara","Watford FC","Cote d'Ivoire",Left-Back,28
1446,"€6.00m","Sebastián Vegas","CF Monterrey",Chile,Centre-Back,26
1447,"€6.00m","Fabián Balbuena","Sport Club Corinthians Paulista",Paraguay,Centre-Back,31
1448,"€6.00m","Birger Meling","Stade Rennais FC",Norway,Left-Back,28
1449,"€6.00m","Marin Pongracic","US Lecce",Croatia,Centre-Back,25
1450,"€6.00m","Álvaro Odriozola","Real Madrid",Spain,Right-Back,27
1451,"€6.00m","Carl Starfelt","Celtic FC",Sweden,Centre-Back,27
1452,"€6.00m","Samir Caetano","Tigres UANL",Brazil,Centre-Back,28
1453,"€6.00m","Pablo Maffeo","RCD Mallorca",Spain,Right-Back,25
1454,"€6.00m","Léo Dubois",Galatasaray,France,Right-Back,28
1455,"€6.00m",Gilberto,"SL Benfica",Brazil,Right-Back,29
1456,"€6.00m",Djené,"Getafe CF",Togo,Centre-Back,31
1457,"€6.00m","Connor Roberts","Burnley FC",Wales,Right-Back,27
1458,"€6.00m","Vyacheslav Karavaev","Zenit St. Petersburg",Russia,Right-Back,27
1459,"€6.00m","Serge Aurier","Nottingham Forest","Cote d'Ivoire",Right-Back,30
1460,"€6.00m",Patric,"SS Lazio",Spain,Centre-Back,29
1461,"€6.00m","John Anthony Brooks","SL Benfica","United States",Centre-Back,29
1462,"€6.00m","Philipp Max","PSV Eindhoven",Germany,Left-Back,29
1463,"€6.00m","Sebastián Coates","Sporting CP",Uruguay,Centre-Back,32
1464,"€6.00m","Sergi Roberto","FC Barcelona",Spain,Right-Back,30
1465,"€6.00m","Sergio Ramos","Paris Saint-Germain",Spain,Centre-Back,36
1466,"€6.00m","Daley Blind","Without ClubWithout Club",Netherlands,Left-Back,32
1467,"€5.80m",Rogério,"US Sassuolo",Brazil,Left-Back,24
1468,"€5.50m",Natan,"Red Bull Bragantino",Brazil,Centre-Back,21
1469,"€5.50m","David Zima","Torino FC","Czech Republic",Centre-Back,22
1470,"€5.50m",Iago,"FC Augsburg",Brazil,Left-Back,25
1471,"€5.50m","Martin Erlic","US Sassuolo",Croatia,Centre-Back,24
1472,"€5.50m","Hiroki Ito","VfB Stuttgart",Japan,Centre-Back,23
1473,"€5.50m","Armando Obispo","PSV Eindhoven",Netherlands,Centre-Back,23
1474,"€5.50m","Paulo Díaz","CA River Plate",Chile,Centre-Back,28
1475,"€5.50m","Arthur Masuaku","Besiktas JK","DR Congo",Left-Back,29
1476,"€5.50m","Vitor Hugo",Trabzonspor,Brazil,Centre-Back,31
1477,"€5.00m","Omar Campos","Santos Laguna",Mexico,Left-Back,20
1478,"€5.00m","José Ángel Carmona","Sevilla FC",Spain,Right-Back,20
1479,"€5.00m","Isaak Touré","Olympique Marseille",France,Centre-Back,19
1480,"€5.00m","Sinaly Diomandé","Olympique Lyon","Cote d'Ivoire",Centre-Back,21
1481,"€5.00m",Calegari,"Fluminense Football Club",Brazil,Right-Back,20
1482,"€5.00m","Ahmetcan Kaplan","Ajax Amsterdam",Turkey,Centre-Back,19
1483,"€5.00m","Issa Kaboré","Olympique Marseille","Burkina Faso",Right-Back,21
1484,"€5.00m","Calvin Ramsay","Liverpool FC",Scotland,Right-Back,19
1485,"€5.00m","Alejandro Francés","Real Zaragoza",Spain,Centre-Back,20
1486,"€5.00m","Jesús Vázquez","Valencia CF",Spain,Left-Back,20
1487,"€5.00m","Charlie Cresswell","Millwall FC",England,Centre-Back,20
1488,"€5.00m",Guga,"Fluminense Football Club",Brazil,Right-Back,24
1489,"€5.00m","Marcus Pedersen","Feyenoord Rotterdam",Norway,Right-Back,22
1490,"€5.00m","Gastón Álvarez","Getafe CF",Uruguay,Centre-Back,22
1491,"€5.00m","Jan Paul van Hecke","Brighton & Hove Albion",Netherlands,Centre-Back,22
1492,"€5.00m","Sepp van den Berg","FC Schalke 04",Netherlands,Centre-Back,21
1493,"€5.00m","Timothée Pembélé","Paris Saint-Germain",France,Right-Back,20
1494,"€5.00m","Ethan Laird","Queens Park Rangers",England,Right-Back,21
1495,"€5.00m","Federico Gatti","Juventus FC",Italy,Centre-Back,24
1496,"€5.00m","Adrià Pedrosa","RCD Espanyol Barcelona",Spain,Left-Back,24
1497,"€5.00m","Joaquín Piquerez","Sociedade Esportiva Palmeiras",Uruguay,Left-Back,24
1498,"€5.00m","Nicolas Cozza","Montpellier HSC",France,Left-Back,23
1499,"€5.00m","Marco Burch","FC Luzern",Switzerland,Centre-Back,22
